P_distCenter,P_CustNum,P_Cin,P_Cin2,,,,,,
16,2057192134,1000074,1009372,,,,,,
16,2057202496,1026525,1009695,,,,,,
16,2052010175,1000199,1010040,,,,,,
16,2052027329,1000207,1010073,,,,,,
16,2057193964,1000710,1010149,, ,,,,
16,2057194339,1026582,1010727,,,,,,
16,2150244155,1026426,1010750,,,,,,
16,2052028513,1026251,1010933,,,,,,
16,2052028712,1001064,1012020,,,,,,
16,2052040840,1002047,1012079,,,,,, 
16,2057191176,1002054,1012137,,,,,,
16,2057193165,1002351,1012178,,,,,,
16,2057193784,1002914,1012186,,,,,,
16,2057197487,1003565,1012194,,,,,,
16,2057202837,1003581,1012277,,,,,,
16,2150139080,1026434,1012335,,,,,,
16,2150237604,1026772,1012400,,,,,,
16,2150238972,1004191,1012897,,,,,,
16,2150240640,1004217,1015387,,,,,,
16,2150244162,1004225,1015783,,,,,,
16,2057192134,1000074,1009372,,,,,,
16,2057202496,1026525,1009695,,,,,,
16,2052010175,1000199,1010040,,,,,,
16,2052027329,1000207,1010073,,,,,,
16,2057193964,1000710,1010149,,,,,,
16,2057194339,1026582,1010727,,,,,,
16,2150244155,1026426,1010750,,,,,,
16,2052028513,1026251,1010933,,,,,,
16,2052028712,1001064,1012020,,,,,,
16,2052040840,1002047,1012079,,,,,,
16,2057191176,1002054,1012137,,,,,,
16,2057193165,1002351,1012178,,,,,,
16,2057193784,1002914,1012186,,,,,,
16,2057197487,1003565,1012194,,,,,,
16,2057202837,1003581,1012277,,,,,,
16,2150139080,1026434,1012335,,,,,,
16,2150237604,1026772,1012400,,,,,,
16,2150238972,1004191,1012897,,,,,,
16,2150240640,1004217,1015387,,,,,,
16,2150244162,1004225,1015783,,,,,,
